nom,dci,laboratoire,amm,is_available,classe,sous_classe,forme,gp_status,veic,tableau,nb_fabricants_dci,hhi_dci,nb_amm_dci,nb_presentations_dci,nb_dci_sous_classe,anciennete_amm,duree_conservation_mois,indications_len,nb_indications,est_generique,est_biosimilaire,est_injectable,est_chronique,indications,dosage,presentation,date_amm
5-FLUOROURACIL,FLUOROURACILE,EBEWE Pharma,6943091H,0,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,Solution injectable,Générique,Vital,A,4,0.2839506172839506,9,7,60,25.1,24.0,250,10,1,0,1,0,- Adénocarcinomes digestifs évolués; - Cancers colorectaux après resection en situation adjuvante; - Adénocarcinomes mammaires aprés traitement locorégional ou lors des rechutes; - Adénocarcinomes ovariens; - Carcinomes épidermoïdes des voies aérodig,250 MG,B/5/5ML,2001-01-20
5-FLUOROURACILE EBEWE,FLUOROURACILE,EBEWE Pharma,6943093H,0,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,Solution injectable pour perfusion,Générique,Vital,A,4,0.2839506172839506,9,7,60,13.8,24.0,250,10,1,0,1,0,- Adénocarcinomes digestifs évolués; - Cancers colorectaux après résection en situation adjuvante; - Adénocarcinomes mammaires après traitement locorégional ou lors des rechutes; - Adénocarcinomes ovariens; - Carcinomes épidermoïdes des voies aérodig,1000 mg/20 ml,B/1/20 ml,2012-04-30
5-FLUOROURACILE EBEWE,FLUOROURACILE,EBEWE Pharma,6943092H,0,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,Solution injectable pour perfusion,Générique,Vital,A,4,0.2839506172839506,9,7,60,13.8,24.0,250,10,1,0,1,0,- Adénocarcinomes digestifs évolués; - Cancers colorectaux après résection en situation adjuvante; - Adénocarcinomes mammaires après traitement locorégional ou lors des rechutes; - Adénocarcinomes ovariens; - Carcinomes épidermoïdes des voies aérodig,500 mg/10 ml,B/5/10 ml,2012-04-30
ABBOTICINE,ERYTHROMYCINE,ADWYA,9043061,1,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),Poudre pour suspension orale,Princeps,Essentiel,A,4,0.3333333333333333,6,6,63,35.2,48.0,250,1,0,0,0,0,"INFECTIONS DUES AUX GERMES SENSIBLES NOTAMMENT DANS LEURS MANIFESTATIONS: ORL STOMATOLOGIQUES BRONCHOPULMONAIRES, CUTANEES, GENITALES,EN PARTICULIER PROSTATIQUES, OSSEUSES, PROPHYLAXIE DE LA MENINGITE A MENINGOCOQUES CHEZ LES SUJETS CONTACTS, CHIMIOT",200 MG,FL/60ML,1990-12-19
ABEVMY,BEVACIZUMAB,MYLAN PHARMACEUTICALS PRIVATE LIMITED,20343022H,0,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,Solution à diluer pour perfusion,Biosimilaire,Vital,A,2,0.5,4,2,60,4.5,24.0,250,5,0,1,1,0,Cancer métastatique du colon ou du rectum - Abvemy (bévacizumab) est indiqué dans le traitement de première ligne du cancer colo-rectal métastatique en association avec les chimiothérapies suivantes: 5-fluorouracil/acide folinique 5-fluorouracil/acid,400 mg(25mg/ml),B/1FL/16ml,2021-09-06
ABEVMY,BEVACIZUMAB,MYLAN PHARMACEUTICALS PRIVATE LIMITED,20343021H,0,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,Solution à diluer pour perfusion,Biosimilaire,Vital,A,2,0.5,4,2,60,4.5,24.0,250,5,0,1,1,0,Cancer métastatique du colon ou du rectum - Abvemy (bévacizumab) est indiqué dans le traitement de première ligne du cancer colo-rectal métastatique en association avec les chimiothérapies suivantes: 5-fluorouracil/acide folinique 5-fluorouracil/acid,100 mg(25mg/ml),B/1FL/4ml,2021-09-06
ABILICARE,ARIPIPRAZOLE,PHARMACARE,9343221,1,SYSTEME NERVEUX,PSYCHOLEPTIQUES,Comprimé,Générique,Essentiel,A,2,0.5,4,2,33,8.5,24.0,250,1,1,0,0,1,Traitement de la schizophrénie chez l'adulte et l'adolescent àgé de 15 ans ou plus . ABILICARE est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I et dans la prévention de récidives d'épisodes man,10 mg,B/30,2017-08-22
ABILICARE,ARIPIPRAZOLE,PHARMACARE,9343222,1,SYSTEME NERVEUX,PSYCHOLEPTIQUES,Comprimé,Générique,Essentiel,A,2,0.5,4,2,33,8.5,24.0,250,1,1,0,0,1,Traitement de la schizophrénie chez l'adulte et l'adolescent àgé de 15 ans ou plus . ABILICARE est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I et dans la prévention de récidives d'épisodes man,15 mg,B/30,2017-08-22
ABILIFY,ARIPIPRAZOLE,ABDI IBRAHIM OTSUKA,16703012,1,SYSTEME NERVEUX,PSYCHOLEPTIQUES,Comprimé,Princeps,Essentiel,A,2,0.5,4,2,33,10.2,36.0,250,1,0,0,0,1,Traitement de la schizophrénie chez l'adulte et l'adolescent àgé de 15 ans ou plus . ABILIFY est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I et dans la prévention de récidives d'épisodes mania,15 mg,B/28,2015-12-01
ABILIFY,ARIPIPRAZOLE,ABDI IBRAHIM OTSUKA,16703011,1,SYSTEME NERVEUX,PSYCHOLEPTIQUES,Comprimé,Princeps,Essentiel,A,2,0.5,4,2,33,10.2,36.0,250,1,0,0,0,1,Traitement de la schizophrénie chez l'adulte et l'adolescent àgé de 15 ans ou plus . ABILIFY est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I et dans la prévention de récidives d'épisodes mania,10 mg,B/28,2015-12-01
